scBarcode	Set	Origi	Type
human3_lib4.final_cell_0779	Donor3	acinar	acinar
human3_lib4.final_cell_0781	Donor3	alpha	alpha
human3_lib4.final_cell_0782	Donor3	gamma	gamma
human3_lib4.final_cell_0783	Donor3	acinar	acinar
human3_lib4.final_cell_0784	Donor3	alpha	alpha
human3_lib4.final_cell_0785	Donor3	gamma	gamma
human3_lib4.final_cell_0786	Donor3	gamma	gamma
human3_lib4.final_cell_0787	Donor3	beta	beta
human3_lib4.final_cell_0788	Donor3	beta	beta
human3_lib4.final_cell_0789	Donor3	alpha	alpha
human3_lib4.final_cell_0792	Donor3	acinar	acinar
human3_lib4.final_cell_0793	Donor3	acinar	acinar
human3_lib4.final_cell_0794	Donor3	acinar	acinar
human3_lib4.final_cell_0795	Donor3	quiescent_stellate	quiescent_stellate
human3_lib4.final_cell_0796	Donor3	quiescent_stellate	quiescent_stellate
human3_lib4.final_cell_0797	Donor3	ductal	ductal
human3_lib4.final_cell_0799	Donor3	alpha	alpha
human3_lib4.final_cell_0801	Donor3	alpha	alpha
human3_lib4.final_cell_0802	Donor3	ductal	ductal
human3_lib4.final_cell_0803	Donor3	alpha	alpha
human3_lib4.final_cell_0804	Donor3	alpha	alpha
human3_lib4.final_cell_0805	Donor3	alpha	alpha
human3_lib4.final_cell_0806	Donor3	alpha	alpha
human3_lib4.final_cell_0807	Donor3	alpha	alpha
human3_lib4.final_cell_0808	Donor3	beta	beta
human3_lib4.final_cell_0809	Donor3	beta	beta
human3_lib4.final_cell_0810	Donor3	beta	beta
human3_lib4.final_cell_0811	Donor3	acinar	acinar
human3_lib4.final_cell_0812	Donor3	alpha	alpha
human3_lib4.final_cell_0814	Donor3	beta	beta
human3_lib4.final_cell_0815	Donor3	beta	beta
human3_lib4.final_cell_0816	Donor3	beta	beta
human3_lib4.final_cell_0817	Donor3	gamma	gamma
human3_lib4.final_cell_0818	Donor3	endothelial	endothelial
human3_lib4.final_cell_0819	Donor3	quiescent_stellate	quiescent_stellate
human3_lib4.final_cell_0820	Donor3	alpha	alpha
human3_lib4.final_cell_0821	Donor3	alpha	alpha
human3_lib4.final_cell_0823	Donor3	beta	beta
human3_lib4.final_cell_0825	Donor3	ductal	ductal
human3_lib4.final_cell_0826	Donor3	ductal	ductal
human3_lib4.final_cell_0828	Donor3	quiescent_stellate	quiescent_stellate
human3_lib4.final_cell_0829	Donor3	alpha	alpha
human3_lib4.final_cell_0830	Donor3	alpha	alpha
human3_lib4.final_cell_0831	Donor3	alpha	alpha
human3_lib4.final_cell_0832	Donor3	activated_stellate	activated_stellate
human3_lib4.final_cell_0833	Donor3	acinar	acinar
human3_lib4.final_cell_0834	Donor3	beta	beta
human3_lib4.final_cell_0835	Donor3	alpha	alpha
human3_lib4.final_cell_0836	Donor3	alpha	alpha
human3_lib4.final_cell_0837	Donor3	ductal	ductal
human3_lib4.final_cell_0838	Donor3	alpha	alpha
human3_lib4.final_cell_0840	Donor3	alpha	alpha
human3_lib4.final_cell_0841	Donor3	beta	beta
human3_lib4.final_cell_0842	Donor3	endothelial	endothelial
human3_lib4.final_cell_0843	Donor3	ductal	ductal
human3_lib4.final_cell_0844	Donor3	endothelial	endothelial
human3_lib4.final_cell_0846	Donor3	quiescent_stellate	quiescent_stellate
human3_lib4.final_cell_0847	Donor3	endothelial	endothelial
human3_lib4.final_cell_0848	Donor3	alpha	alpha
human3_lib4.final_cell_0849	Donor3	alpha	alpha
human3_lib4.final_cell_0850	Donor3	beta	beta
human3_lib4.final_cell_0851	Donor3	alpha	alpha
human3_lib4.final_cell_0852	Donor3	activated_stellate	activated_stellate
human3_lib4.final_cell_0853	Donor3	quiescent_stellate	quiescent_stellate
human3_lib4.final_cell_0854	Donor3	alpha	alpha
human3_lib4.final_cell_0855	Donor3	beta	beta
human3_lib4.final_cell_0856	Donor3	alpha	alpha
human3_lib4.final_cell_0857	Donor3	alpha	alpha
human3_lib4.final_cell_0859	Donor3	activated_stellate	activated_stellate
human3_lib4.final_cell_0861	Donor3	alpha	alpha
human3_lib4.final_cell_0863	Donor3	delta	delta
human3_lib4.final_cell_0864	Donor3	quiescent_stellate	quiescent_stellate
human3_lib4.final_cell_0865	Donor3	alpha	alpha
human3_lib4.final_cell_0868	Donor3	alpha	alpha
human3_lib4.final_cell_0869	Donor3	beta	beta
human3_lib4.final_cell_0870	Donor3	alpha	alpha
human3_lib4.final_cell_0871	Donor3	beta	beta
human3_lib4.final_cell_0872	Donor3	delta	delta
human3_lib4.final_cell_0873	Donor3	ductal	ductal
human3_lib4.final_cell_0874	Donor3	alpha	alpha
human3_lib4.final_cell_0875	Donor3	beta	beta
human3_lib4.final_cell_0876	Donor3	endothelial	endothelial
human3_lib4.final_cell_0879	Donor3	alpha	alpha
human3_lib4.final_cell_0880	Donor3	alpha	alpha
human3_lib4.final_cell_0881	Donor3	alpha	alpha
human3_lib4.final_cell_0882	Donor3	alpha	alpha
human3_lib4.final_cell_0883	Donor3	schwann	schwann
human3_lib4.final_cell_0884	Donor3	alpha	alpha
human3_lib4.final_cell_0886	Donor3	macrophage	macrophage
human3_lib4.final_cell_0887	Donor3	endothelial	endothelial
human3_lib4.final_cell_0888	Donor3	ductal	ductal
human3_lib4.final_cell_0890	Donor3	alpha	alpha
human3_lib4.final_cell_0891	Donor3	alpha	alpha
human3_lib4.final_cell_0892	Donor3	quiescent_stellate	quiescent_stellate
human3_lib4.final_cell_0893	Donor3	acinar	acinar
human3_lib4.final_cell_0894	Donor3	ductal	ductal
human3_lib4.final_cell_0895	Donor3	alpha	alpha
human3_lib4.final_cell_0897	Donor3	alpha	alpha
human3_lib4.final_cell_0898	Donor3	beta	beta
human3_lib4.final_cell_0899	Donor3	alpha	alpha
human4_lib1.final_cell_0002	Donor4	delta	delta
human4_lib1.final_cell_0003	Donor4	delta	delta
human4_lib1.final_cell_0008	Donor4	alpha	alpha
human4_lib1.final_cell_0011	Donor4	alpha	alpha
human4_lib1.final_cell_0012	Donor4	ductal	ductal
human4_lib1.final_cell_0013	Donor4	ductal	ductal
human4_lib1.final_cell_0015	Donor4	delta	delta
human4_lib1.final_cell_0017	Donor4	beta	beta
human4_lib1.final_cell_0019	Donor4	ductal	ductal
human4_lib1.final_cell_0020	Donor4	beta	beta
human4_lib1.final_cell_0021	Donor4	beta	beta
human4_lib1.final_cell_0022	Donor4	delta	delta
human4_lib1.final_cell_0024	Donor4	delta	delta
human4_lib1.final_cell_0025	Donor4	alpha	alpha
human4_lib1.final_cell_0026	Donor4	beta	beta
human4_lib1.final_cell_0027	Donor4	beta	beta
human4_lib1.final_cell_0028	Donor4	delta	delta
human4_lib1.final_cell_0030	Donor4	activated_stellate	activated_stellate
human4_lib1.final_cell_0033	Donor4	ductal	ductal
human4_lib1.final_cell_0034	Donor4	beta	beta
human4_lib1.final_cell_0035	Donor4	macrophage	macrophage
human4_lib1.final_cell_0036	Donor4	alpha	alpha
human4_lib1.final_cell_0037	Donor4	beta	beta
human4_lib1.final_cell_0038	Donor4	beta	beta
human4_lib1.final_cell_0039	Donor4	alpha	alpha
human4_lib1.final_cell_0040	Donor4	ductal	ductal
human4_lib1.final_cell_0041	Donor4	beta	beta
human4_lib1.final_cell_0042	Donor4	beta	beta
human4_lib1.final_cell_0043	Donor4	alpha	alpha
human4_lib1.final_cell_0044	Donor4	ductal	ductal
human4_lib1.final_cell_0045	Donor4	ductal	ductal
human4_lib1.final_cell_0046	Donor4	beta	beta
human4_lib1.final_cell_0047	Donor4	beta	beta
human4_lib1.final_cell_0048	Donor4	alpha	alpha
human4_lib1.final_cell_0049	Donor4	beta	beta
human4_lib1.final_cell_0050	Donor4	alpha	alpha
human4_lib1.final_cell_0051	Donor4	beta	beta
human4_lib1.final_cell_0052	Donor4	ductal	ductal
human4_lib1.final_cell_0053	Donor4	beta	beta
human4_lib1.final_cell_0054	Donor4	ductal	ductal
human4_lib1.final_cell_0055	Donor4	alpha	alpha
human4_lib1.final_cell_0056	Donor4	beta	beta
human4_lib1.final_cell_0057	Donor4	delta	delta
human4_lib1.final_cell_0058	Donor4	beta	beta
human4_lib1.final_cell_0059	Donor4	beta	beta
human4_lib1.final_cell_0060	Donor4	ductal	ductal
human4_lib1.final_cell_0061	Donor4	beta	beta
human4_lib1.final_cell_0063	Donor4	beta	beta
human4_lib1.final_cell_0064	Donor4	ductal	ductal
human4_lib1.final_cell_0066	Donor4	activated_stellate	activated_stellate
human4_lib1.final_cell_0067	Donor4	alpha	alpha
human4_lib1.final_cell_0068	Donor4	alpha	alpha
human4_lib1.final_cell_0069	Donor4	delta	delta
human4_lib1.final_cell_0070	Donor4	activated_stellate	activated_stellate
human4_lib1.final_cell_0071	Donor4	activated_stellate	activated_stellate
human4_lib1.final_cell_0072	Donor4	beta	beta
human4_lib1.final_cell_0073	Donor4	activated_stellate	activated_stellate
human4_lib1.final_cell_0074	Donor4	alpha	alpha
human4_lib1.final_cell_0075	Donor4	beta	beta
human4_lib1.final_cell_0076	Donor4	ductal	ductal
human4_lib1.final_cell_0077	Donor4	quiescent_stellate	quiescent_stellate
human4_lib1.final_cell_0078	Donor4	beta	beta
human4_lib1.final_cell_0080	Donor4	beta	beta
human4_lib1.final_cell_0081	Donor4	beta	beta
human4_lib1.final_cell_0082	Donor4	activated_stellate	activated_stellate
human4_lib1.final_cell_0083	Donor4	delta	delta
human4_lib1.final_cell_0084	Donor4	beta	beta
human4_lib1.final_cell_0085	Donor4	beta	beta
human4_lib1.final_cell_0086	Donor4	beta	beta
human4_lib1.final_cell_0087	Donor4	beta	beta
human4_lib1.final_cell_0088	Donor4	delta	delta
human4_lib1.final_cell_0089	Donor4	beta	beta
human4_lib1.final_cell_0090	Donor4	delta	delta
human4_lib1.final_cell_0091	Donor4	alpha	alpha
human4_lib1.final_cell_0092	Donor4	ductal	ductal
human4_lib1.final_cell_0093	Donor4	alpha	alpha
human4_lib1.final_cell_0094	Donor4	alpha	alpha
human4_lib1.final_cell_0095	Donor4	alpha	alpha
human4_lib1.final_cell_0096	Donor4	macrophage	macrophage
human4_lib1.final_cell_0097	Donor4	delta	delta
human4_lib1.final_cell_0098	Donor4	ductal	ductal
human4_lib1.final_cell_0099	Donor4	ductal	ductal
human4_lib1.final_cell_0100	Donor4	beta	beta
human4_lib1.final_cell_0101	Donor4	ductal	ductal
human4_lib1.final_cell_0102	Donor4	beta	beta
human4_lib1.final_cell_0103	Donor4	beta	beta
human4_lib1.final_cell_0104	Donor4	alpha	alpha
human4_lib1.final_cell_0105	Donor4	beta	beta
human4_lib1.final_cell_0106	Donor4	delta	delta
human4_lib1.final_cell_0107	Donor4	alpha	alpha
human4_lib1.final_cell_0108	Donor4	alpha	alpha
human4_lib1.final_cell_0109	Donor4	delta	delta
human4_lib1.final_cell_0110	Donor4	beta	beta
human4_lib1.final_cell_0111	Donor4	ductal	ductal
human4_lib1.final_cell_0112	Donor4	beta	beta
human4_lib1.final_cell_0113	Donor4	beta	beta
human4_lib1.final_cell_0114	Donor4	delta	delta
human4_lib1.final_cell_0116	Donor4	ductal	ductal
human4_lib1.final_cell_0117	Donor4	alpha	alpha
human4_lib1.final_cell_0118	Donor4	ductal	ductal
human4_lib1.final_cell_0119	Donor4	ductal	ductal
human4_lib1.final_cell_0120	Donor4	beta	beta
human4_lib1.final_cell_0121	Donor4	beta	beta
human4_lib1.final_cell_0122	Donor4	gamma	gamma
human4_lib1.final_cell_0123	Donor4	alpha	alpha
human4_lib1.final_cell_0124	Donor4	beta	beta
human4_lib1.final_cell_0125	Donor4	beta	beta
human4_lib1.final_cell_0126	Donor4	beta	beta
human4_lib1.final_cell_0128	Donor4	activated_stellate	activated_stellate
human4_lib1.final_cell_0129	Donor4	delta	delta
human4_lib1.final_cell_0130	Donor4	beta	beta
human4_lib1.final_cell_0131	Donor4	ductal	ductal
human4_lib1.final_cell_0132	Donor4	beta	beta
human4_lib1.final_cell_0135	Donor4	beta	beta
human4_lib1.final_cell_0136	Donor4	alpha	alpha
human4_lib1.final_cell_0137	Donor4	ductal	ductal
human4_lib1.final_cell_0138	Donor4	delta	delta
human4_lib1.final_cell_0139	Donor4	beta	beta
human4_lib1.final_cell_0140	Donor4	delta	delta
human4_lib1.final_cell_0141	Donor4	delta	delta
human4_lib1.final_cell_0142	Donor4	alpha	alpha
human4_lib1.final_cell_0143	Donor4	alpha	alpha
human4_lib1.final_cell_0144	Donor4	ductal	ductal
human4_lib1.final_cell_0145	Donor4	macrophage	macrophage
human4_lib1.final_cell_0146	Donor4	alpha	alpha
human4_lib1.final_cell_0148	Donor4	ductal	ductal
human4_lib1.final_cell_0149	Donor4	ductal	ductal
human4_lib1.final_cell_0150	Donor4	beta	beta
human4_lib1.final_cell_0151	Donor4	beta	beta
human4_lib1.final_cell_0152	Donor4	alpha	alpha
human4_lib1.final_cell_0153	Donor4	beta	beta
human4_lib1.final_cell_0154	Donor4	alpha	alpha
human4_lib1.final_cell_0155	Donor4	beta	beta
human4_lib1.final_cell_0156	Donor4	beta	beta
human4_lib1.final_cell_0157	Donor4	ductal	ductal
human4_lib1.final_cell_0158	Donor4	ductal	ductal
human4_lib1.final_cell_0159	Donor4	beta	beta
human4_lib1.final_cell_0160	Donor4	beta	beta
human4_lib1.final_cell_0161	Donor4	alpha	alpha
human4_lib1.final_cell_0162	Donor4	alpha	alpha
human4_lib1.final_cell_0163	Donor4	beta	beta
human4_lib1.final_cell_0164	Donor4	beta	beta
human4_lib1.final_cell_0165	Donor4	alpha	alpha
human4_lib1.final_cell_0166	Donor4	beta	beta
human4_lib1.final_cell_0167	Donor4	beta	beta
human4_lib1.final_cell_0168	Donor4	alpha	alpha
human4_lib1.final_cell_0169	Donor4	delta	delta
human4_lib1.final_cell_0170	Donor4	beta	beta
human4_lib1.final_cell_0171	Donor4	alpha	alpha
human4_lib1.final_cell_0172	Donor4	beta	beta
human4_lib1.final_cell_0173	Donor4	beta	beta
human4_lib1.final_cell_0174	Donor4	beta	beta
human4_lib1.final_cell_0175	Donor4	beta	beta
human4_lib1.final_cell_0176	Donor4	delta	delta
human4_lib1.final_cell_0177	Donor4	beta	beta
human4_lib1.final_cell_0178	Donor4	ductal	ductal
human4_lib1.final_cell_0179	Donor4	gamma	gamma
human4_lib1.final_cell_0180	Donor4	delta	delta
human4_lib1.final_cell_0181	Donor4	ductal	ductal
human4_lib1.final_cell_0182	Donor4	alpha	alpha
human4_lib1.final_cell_0184	Donor4	alpha	alpha
human4_lib1.final_cell_0185	Donor4	alpha	alpha
human4_lib1.final_cell_0186	Donor4	delta	delta
human4_lib1.final_cell_0187	Donor4	alpha	alpha
human4_lib1.final_cell_0188	Donor4	beta	beta
human4_lib1.final_cell_0189	Donor4	delta	delta
human4_lib1.final_cell_0190	Donor4	alpha	alpha
human4_lib1.final_cell_0191	Donor4	alpha	alpha
human4_lib1.final_cell_0192	Donor4	delta	delta
human4_lib1.final_cell_0193	Donor4	beta	beta
human4_lib1.final_cell_0194	Donor4	beta	beta
human4_lib1.final_cell_0195	Donor4	alpha	alpha
human4_lib1.final_cell_0196	Donor4	gamma	gamma
human4_lib1.final_cell_0197	Donor4	beta	beta
human4_lib1.final_cell_0198	Donor4	beta	beta
human4_lib1.final_cell_0199	Donor4	gamma	gamma
human4_lib1.final_cell_0200	Donor4	delta	delta
human4_lib1.final_cell_0201	Donor4	ductal	ductal
human4_lib1.final_cell_0202	Donor4	beta	beta
human4_lib1.final_cell_0203	Donor4	alpha	alpha
human4_lib1.final_cell_0204	Donor4	delta	delta
human4_lib1.final_cell_0205	Donor4	beta	beta
human4_lib1.final_cell_0206	Donor4	beta	beta
human4_lib1.final_cell_0207	Donor4	alpha	alpha
human4_lib1.final_cell_0209	Donor4	ductal	ductal
human4_lib1.final_cell_0210	Donor4	beta	beta
human4_lib1.final_cell_0211	Donor4	alpha	alpha
human4_lib1.final_cell_0212	Donor4	ductal	ductal
human4_lib1.final_cell_0213	Donor4	activated_stellate	activated_stellate
human4_lib1.final_cell_0214	Donor4	alpha	alpha
human4_lib1.final_cell_0215	Donor4	beta	beta
human4_lib1.final_cell_0216	Donor4	alpha	alpha
human4_lib1.final_cell_0217	Donor4	ductal	ductal
human4_lib1.final_cell_0218	Donor4	beta	beta
human4_lib1.final_cell_0219	Donor4	beta	beta
human4_lib1.final_cell_0220	Donor4	ductal	ductal
human4_lib1.final_cell_0221	Donor4	beta	beta
human4_lib1.final_cell_0222	Donor4	beta	beta
human4_lib1.final_cell_0223	Donor4	ductal	ductal
human4_lib1.final_cell_0224	Donor4	beta	beta
human4_lib1.final_cell_0225	Donor4	beta	beta
human4_lib1.final_cell_0226	Donor4	beta	beta
human4_lib1.final_cell_0227	Donor4	beta	beta
human4_lib1.final_cell_0228	Donor4	alpha	alpha
human4_lib1.final_cell_0229	Donor4	delta	delta
human4_lib1.final_cell_0230	Donor4	alpha	alpha
human4_lib1.final_cell_0231	Donor4	macrophage	macrophage
human4_lib1.final_cell_0232	Donor4	alpha	alpha
human4_lib1.final_cell_0233	Donor4	alpha	alpha
human4_lib1.final_cell_0234	Donor4	beta	beta
human4_lib1.final_cell_0235	Donor4	activated_stellate	activated_stellate
human4_lib1.final_cell_0236	Donor4	beta	beta
human4_lib1.final_cell_0237	Donor4	beta	beta
human4_lib1.final_cell_0238	Donor4	ductal	ductal
human4_lib1.final_cell_0239	Donor4	ductal	ductal
human4_lib1.final_cell_0240	Donor4	gamma	gamma
human4_lib1.final_cell_0241	Donor4	beta	beta
human4_lib1.final_cell_0242	Donor4	ductal	ductal
human4_lib1.final_cell_0243	Donor4	beta	beta
human4_lib1.final_cell_0244	Donor4	beta	beta
human4_lib1.final_cell_0245	Donor4	beta	beta
human4_lib1.final_cell_0246	Donor4	beta	beta
human4_lib1.final_cell_0247	Donor4	beta	beta
human4_lib1.final_cell_0248	Donor4	alpha	alpha
human4_lib1.final_cell_0249	Donor4	delta	delta
human4_lib1.final_cell_0250	Donor4	alpha	alpha
human4_lib1.final_cell_0251	Donor4	ductal	ductal
human4_lib1.final_cell_0253	Donor4	beta	beta
human4_lib1.final_cell_0254	Donor4	alpha	alpha
human4_lib1.final_cell_0255	Donor4	alpha	alpha
human4_lib1.final_cell_0257	Donor4	ductal	ductal
human4_lib1.final_cell_0258	Donor4	alpha	alpha
human4_lib1.final_cell_0259	Donor4	alpha	alpha
human4_lib1.final_cell_0260	Donor4	ductal	ductal
human4_lib1.final_cell_0261	Donor4	beta	beta
human4_lib1.final_cell_0262	Donor4	beta	beta
human4_lib1.final_cell_0263	Donor4	alpha	alpha
human4_lib1.final_cell_0265	Donor4	gamma	gamma
human4_lib1.final_cell_0266	Donor4	beta	beta
human4_lib1.final_cell_0267	Donor4	delta	delta
human4_lib1.final_cell_0268	Donor4	gamma	gamma
human4_lib1.final_cell_0269	Donor4	beta	beta
human4_lib1.final_cell_0270	Donor4	ductal	ductal
human4_lib1.final_cell_0271	Donor4	ductal	ductal
human4_lib1.final_cell_0272	Donor4	beta	beta
human4_lib1.final_cell_0273	Donor4	ductal	ductal
human4_lib1.final_cell_0274	Donor4	beta	beta
human4_lib1.final_cell_0275	Donor4	alpha	alpha
human4_lib1.final_cell_0276	Donor4	beta	beta
human4_lib1.final_cell_0277	Donor4	beta	beta
human4_lib1.final_cell_0278	Donor4	beta	beta
human4_lib1.final_cell_0279	Donor4	alpha	alpha
human4_lib1.final_cell_0280	Donor4	beta	beta
human4_lib1.final_cell_0281	Donor4	alpha	alpha
human4_lib1.final_cell_0282	Donor4	beta	beta
human4_lib1.final_cell_0283	Donor4	beta	beta
human4_lib1.final_cell_0284	Donor4	alpha	alpha
human4_lib1.final_cell_0285	Donor4	ductal	ductal
human4_lib1.final_cell_0286	Donor4	alpha	alpha
human4_lib1.final_cell_0287	Donor4	ductal	ductal
human4_lib1.final_cell_0288	Donor4	beta	beta
human4_lib1.final_cell_0289	Donor4	alpha	alpha
human4_lib1.final_cell_0290	Donor4	beta	beta
human4_lib1.final_cell_0291	Donor4	beta	beta
human4_lib1.final_cell_0292	Donor4	beta	beta
human4_lib1.final_cell_0293	Donor4	beta	beta
human4_lib1.final_cell_0294	Donor4	alpha	alpha
human4_lib1.final_cell_0295	Donor4	macrophage	macrophage
human4_lib1.final_cell_0296	Donor4	alpha	alpha
human4_lib1.final_cell_0297	Donor4	delta	delta
human4_lib1.final_cell_0298	Donor4	gamma	gamma
human4_lib1.final_cell_0299	Donor4	beta	beta
human4_lib1.final_cell_0300	Donor4	beta	beta
human4_lib1.final_cell_0301	Donor4	delta	delta
human4_lib1.final_cell_0303	Donor4	ductal	ductal
human4_lib1.final_cell_0304	Donor4	beta	beta
human4_lib1.final_cell_0305	Donor4	beta	beta
human4_lib1.final_cell_0306	Donor4	alpha	alpha
human4_lib1.final_cell_0307	Donor4	beta	beta
human4_lib1.final_cell_0308	Donor4	alpha	alpha
human4_lib1.final_cell_0309	Donor4	activated_stellate	activated_stellate
human4_lib1.final_cell_0310	Donor4	alpha	alpha
human4_lib1.final_cell_0311	Donor4	gamma	gamma
human4_lib1.final_cell_0312	Donor4	delta	delta
human4_lib1.final_cell_0313	Donor4	beta	beta
human4_lib1.final_cell_0314	Donor4	alpha	alpha
human4_lib1.final_cell_0315	Donor4	alpha	alpha
human4_lib1.final_cell_0316	Donor4	beta	beta
human4_lib1.final_cell_0317	Donor4	delta	delta
human4_lib1.final_cell_0318	Donor4	delta	delta
human4_lib1.final_cell_0319	Donor4	delta	delta
human4_lib1.final_cell_0320	Donor4	alpha	alpha
human4_lib1.final_cell_0321	Donor4	beta	beta
human4_lib1.final_cell_0322	Donor4	beta	beta
human4_lib1.final_cell_0323	Donor4	activated_stellate	activated_stellate
human4_lib1.final_cell_0324	Donor4	ductal	ductal
human4_lib1.final_cell_0325	Donor4	beta	beta
human4_lib1.final_cell_0326	Donor4	epsilon	epsilon
human4_lib1.final_cell_0327	Donor4	alpha	alpha
human4_lib1.final_cell_0328	Donor4	gamma	gamma
human4_lib1.final_cell_0329	Donor4	gamma	gamma
human4_lib1.final_cell_0330	Donor4	beta	beta
human4_lib1.final_cell_0331	Donor4	gamma	gamma
human4_lib1.final_cell_0332	Donor4	alpha	alpha
human4_lib1.final_cell_0333	Donor4	alpha	alpha
human4_lib1.final_cell_0334	Donor4	beta	beta
human4_lib1.final_cell_0335	Donor4	alpha	alpha
human4_lib1.final_cell_0336	Donor4	ductal	ductal
human4_lib1.final_cell_0337	Donor4	delta	delta
human4_lib1.final_cell_0338	Donor4	alpha	alpha
human4_lib1.final_cell_0339	Donor4	beta	beta
human4_lib1.final_cell_0340	Donor4	beta	beta
human4_lib1.final_cell_0341	Donor4	alpha	alpha
human4_lib1.final_cell_0342	Donor4	beta	beta
human4_lib1.final_cell_0343	Donor4	ductal	ductal
human4_lib1.final_cell_0344	Donor4	alpha	alpha
human4_lib1.final_cell_0345	Donor4	alpha	alpha
human4_lib1.final_cell_0346	Donor4	ductal	ductal
human4_lib1.final_cell_0347	Donor4	delta	delta
human4_lib1.final_cell_0348	Donor4	beta	beta
human4_lib1.final_cell_0349	Donor4	macrophage	macrophage
human4_lib1.final_cell_0350	Donor4	alpha	alpha
human4_lib1.final_cell_0351	Donor4	ductal	ductal
human4_lib1.final_cell_0352	Donor4	beta	beta
human4_lib1.final_cell_0353	Donor4	alpha	alpha
human4_lib1.final_cell_0354	Donor4	activated_stellate	activated_stellate
human4_lib1.final_cell_0355	Donor4	ductal	ductal
human4_lib1.final_cell_0356	Donor4	beta	beta
human4_lib1.final_cell_0357	Donor4	alpha	alpha
human4_lib1.final_cell_0358	Donor4	beta	beta
human4_lib1.final_cell_0359	Donor4	beta	beta
human4_lib1.final_cell_0360	Donor4	ductal	ductal
human4_lib1.final_cell_0361	Donor4	endothelial	endothelial
human4_lib1.final_cell_0362	Donor4	ductal	ductal
human4_lib1.final_cell_0363	Donor4	alpha	alpha
human4_lib1.final_cell_0364	Donor4	ductal	ductal
human4_lib1.final_cell_0365	Donor4	gamma	gamma
human4_lib1.final_cell_0366	Donor4	beta	beta
human4_lib1.final_cell_0367	Donor4	activated_stellate	activated_stellate
human4_lib1.final_cell_0368	Donor4	beta	beta
human4_lib1.final_cell_0369	Donor4	alpha	alpha
human4_lib1.final_cell_0370	Donor4	alpha	alpha
human4_lib1.final_cell_0371	Donor4	activated_stellate	activated_stellate
human4_lib1.final_cell_0372	Donor4	ductal	ductal
human4_lib1.final_cell_0373	Donor4	alpha	alpha
human4_lib1.final_cell_0374	Donor4	beta	beta
human4_lib1.final_cell_0375	Donor4	beta	beta
human4_lib1.final_cell_0376	Donor4	alpha	alpha
human4_lib1.final_cell_0377	Donor4	delta	delta
human4_lib1.final_cell_0378	Donor4	beta	beta
human4_lib1.final_cell_0379	Donor4	ductal	ductal
human4_lib1.final_cell_0380	Donor4	beta	beta
human4_lib1.final_cell_0381	Donor4	beta	beta
human4_lib1.final_cell_0382	Donor4	beta	beta
human4_lib1.final_cell_0383	Donor4	beta	beta
human4_lib1.final_cell_0384	Donor4	alpha	alpha
human4_lib1.final_cell_0385	Donor4	beta	beta
human4_lib1.final_cell_0386	Donor4	alpha	alpha
human4_lib1.final_cell_0387	Donor4	delta	delta
human4_lib1.final_cell_0388	Donor4	gamma	gamma
human4_lib1.final_cell_0389	Donor4	beta	beta
human4_lib1.final_cell_0390	Donor4	beta	beta
human4_lib1.final_cell_0391	Donor4	alpha	alpha
human4_lib1.final_cell_0392	Donor4	alpha	alpha
human4_lib1.final_cell_0393	Donor4	delta	delta
human4_lib1.final_cell_0394	Donor4	alpha	alpha
human4_lib1.final_cell_0395	Donor4	gamma	gamma
human4_lib1.final_cell_0396	Donor4	beta	beta
human4_lib1.final_cell_0397	Donor4	beta	beta
human4_lib1.final_cell_0398	Donor4	beta	beta
human4_lib1.final_cell_0399	Donor4	ductal	ductal
human4_lib1.final_cell_0400	Donor4	activated_stellate	activated_stellate
human4_lib1.final_cell_0401	Donor4	beta	beta
human4_lib1.final_cell_0403	Donor4	beta	beta
human4_lib1.final_cell_0404	Donor4	beta	beta
human4_lib1.final_cell_0405	Donor4	beta	beta
human4_lib1.final_cell_0406	Donor4	delta	delta
human4_lib1.final_cell_0407	Donor4	beta	beta
human4_lib1.final_cell_0408	Donor4	alpha	alpha
human4_lib1.final_cell_0409	Donor4	beta	beta
human4_lib1.final_cell_0410	Donor4	beta	beta
human4_lib1.final_cell_0411	Donor4	beta	beta
human4_lib1.final_cell_0412	Donor4	beta	beta
human4_lib1.final_cell_0413	Donor4	ductal	ductal
human4_lib1.final_cell_0414	Donor4	beta	beta
human4_lib1.final_cell_0415	Donor4	beta	beta
human4_lib1.final_cell_0416	Donor4	alpha	alpha
human4_lib1.final_cell_0417	Donor4	beta	beta
human4_lib1.final_cell_0418	Donor4	beta	beta
human4_lib1.final_cell_0419	Donor4	delta	delta
human4_lib1.final_cell_0420	Donor4	ductal	ductal
human4_lib1.final_cell_0421	Donor4	alpha	alpha
human4_lib1.final_cell_0422	Donor4	ductal	ductal
human4_lib1.final_cell_0423	Donor4	beta	beta
human4_lib1.final_cell_0424	Donor4	alpha	alpha
human4_lib1.final_cell_0425	Donor4	endothelial	endothelial
human4_lib1.final_cell_0426	Donor4	beta	beta
human4_lib1.final_cell_0427	Donor4	beta	beta
human4_lib1.final_cell_0428	Donor4	alpha	alpha
human4_lib1.final_cell_0429	Donor4	beta	beta
human4_lib1.final_cell_0430	Donor4	beta	beta
human4_lib1.final_cell_0431	Donor4	beta	beta
human4_lib1.final_cell_0432	Donor4	beta	beta
human4_lib1.final_cell_0433	Donor4	beta	beta
human4_lib1.final_cell_0434	Donor4	beta	beta
human4_lib1.final_cell_0435	Donor4	alpha	alpha
human4_lib1.final_cell_0436	Donor4	beta	beta
